
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                69.72       1.05  6.983E-007  1.002E-006 1.282E-006 1.839E-006
l3198355                 7.111     0.9877          0          0         0         0
l2805037                 7.111     0.9877          0          0         0         0
n1137994                 6.938     0.9637          0          0         0         0
m1069484                 6.937     0.9635          0          0         0         0
l2860504                 6.267     0.8705          0          0         0         0
l2860493                 6.266     0.8704          0          0         0         0
m1026783                 6.628     0.9206     0.1294      1.953    0.2408     3.633
m1026780                 6.627     0.9205     0.1295      1.954     0.241     3.636
p895111                  7.399      1.028          0          0         0         0
l2895496                 7.399      1.028          0          0         0         0
n1140819                 6.577     0.9136     0.1312      1.995    0.2484     3.777
m1026700                 6.577     0.9135     0.1311      1.994    0.2483     3.776
m1089173                 7.068     0.9817          0          0         0         0
l2935551                 7.067     0.9815          0          0         0         0
m1026344                 6.738      0.936          0          0         0         0
m1026364                 6.738     0.9359          0          0         0         0
l2879070                  6.68     0.9278     0.1387      2.077    0.2532      3.79
l3216345                 6.676     0.9272     0.1399      2.095    0.2551     3.821
m1069428                 6.585     0.9146     0.1231       1.87    0.2331     3.541
n1139257                  6.46     0.8973          0          0         0         0
l2991919                 6.734     0.9354          0          0         0         0
m1026361                 6.732      0.935          0          0         0         0
n1147857                 6.256     0.8689          0          0         0         0
m1009742                 6.254     0.8687          0          0         0         0
q14412                   6.817     0.9469    0.06813     0.9994    0.1105     1.621
m1047325                 6.815     0.9466    0.06859      1.006    0.1108     1.626
n1139263                 6.384     0.8867          0          0         0         0
l3048227                 6.384     0.8867          0          0         0         0
p827506                  6.384     0.8867          0          0         0         0
m1069469                 6.384     0.8867          0          0         0         0
m1027019                  6.46     0.8972          0          0         0         0
l2785522                  6.46     0.8972          0          0         0         0
l3216338                 6.405     0.8896          0          0         0         0
l2973146                 6.405     0.8896          0          0         0         0
m3037452                 6.716     0.9328          0          0         0         0
l2973164                 6.715     0.9328          0          0         0         0
l3120376                  6.36     0.8834          0          0         0         0
m1026925                 6.358     0.8832          0          0         0         0
m1047612                 7.041      0.978          0          0         0         0
p828360                  7.041      0.978          0          0         0         0
m1089195                 7.231      1.004          0          0         0         0
l3141393                 7.231      1.004          0          0         0         0
m1026946                 6.476     0.8995          0          0         0         0
m1026940                 6.476     0.8994          0          0         0         0
m1047471                 6.326     0.8787          0          0         0         0
l3216349                 6.326     0.8787          0          0         0         0
m1047401                 6.215     0.8633          0          0         0         0
l2748132                 6.215     0.8633          0          0         0         0
l3122820                 6.242      0.867          0          0         0         0
l3141398                 6.242      0.867          0          0         0         0
m1108360                 7.142     0.9921          0          0         0         0
l3048968                 7.142      0.992          0          0         0         0
l2801950                 6.949     0.9652          0          0         0         0
m1069224                 6.948     0.9651          0          0         0         0
l2766746                 6.903     0.9588          0          0         0         0
m1027073                 6.901     0.9585          0          0         0         0
m1142873                 7.398      1.028          0          0         0         0
m1069181                  6.95     0.9654          0          0         0         0
l2973151                 6.949     0.9651          0          0         0         0
l3179682                 7.226      1.004          0          0         0         0
l2786274                 7.226      1.004          0          0         0         0
l3066816                 6.265     0.8702          0          0         0         0
m1026667                 6.265     0.8702          0          0         0         0
m1108529                 7.044     0.9784    0.08831      1.254    0.1543      2.19
m1108532                 7.042     0.9781    0.08859      1.258    0.1551     2.202
l2766723                 6.266     0.8703          0          0         0         0
l3122822                 6.266     0.8703          0          0         0         0
l2673312                 6.246     0.8676          0          0         0         0
l3235247                 6.246     0.8676          0          0         0         0
m1166391                 7.379      1.025          0          0         0         0
l3254873                 7.375      1.024          0          0         0         0
l2861157                 7.418       1.03          0          0         0         0
p901951                  7.414       1.03          0          0         0         0
m1047346                 6.834     0.9493    0.06396     0.9359    0.1076     1.575
m1047345                 6.832     0.9489    0.06462     0.9458    0.1079      1.58
l2989596                 6.765     0.9396          0          0         0         0
l2822873                 6.764     0.9396          0          0         0         0
m1108328                 7.202          1          0          0         0         0
l2875754                 7.202          1          0          0         0         0
l2786204                  7.48      1.039          0          0         0         0
m1209819                 7.476      1.038          0          0         0         0
p901972                  6.254     0.8686          0          0         0         0
m1009726                 6.251     0.8683          0          0         0         0
m1047702                 6.388     0.8873          0          0         0         0
n1137001                 6.388     0.8873          0          0         0         0
l2767340                 7.195     0.9994    0.06201     0.8619   0.09684     1.346
m3037449                 7.195     0.9994    0.06175     0.8583   0.09642      1.34
m1047457                 6.334     0.8797          0          0         0         0
l2710546                 6.333     0.8796          0          0         0         0
l2674027                 7.057     0.9801    0.08649      1.226    0.1495     2.119
l2692633                 7.052     0.9795    0.08717      1.236    0.1513     2.146
n1142108                 7.247      1.007          0          0         0         0
l2674051                 7.247      1.007          0          0         0         0
m1069135                 6.852     0.9517    0.06006     0.8766    0.1062      1.55
r18242                   6.848     0.9512    0.06102      0.891    0.1065     1.555
m1047534                 6.762     0.9392     0.1274      1.884    0.2356     3.484
n1136663                 6.746      0.937      0.129      1.912    0.2376     3.523
m1108508                 7.255      1.008          0          0         0         0
l3097861                 7.255      1.008          0          0         0         0
m1069560                 6.761      0.939          0          0         0         0
l2973153                 6.643     0.9227     0.1589      2.392    0.2765     4.162
n1136998                 6.643     0.9226     0.1591      2.396    0.2768     4.168
l2898515                  7.46      1.036          0          0         0         0
m1166387                  7.46      1.036          0          0         0         0
m1047442                 6.361     0.8836          0          0         0         0
l3235250                 6.361     0.8836          0          0         0         0
m1142871                   7.3      1.014    0.04453       0.61   0.05742    0.7866
m1142874                 7.297      1.013    0.04504     0.6172    0.0584    0.8004
l2955081                 7.198     0.9998    0.02135     0.2966   0.07839     1.089
m1108315                 7.197     0.9996    0.02116      0.294   0.08053     1.119
l2973162                 6.748     0.9372    0.09194      1.363    0.1429     2.117
m1026333                 6.746     0.9371    0.09269      1.374    0.1445     2.142
m1009832                 6.413     0.8907          0          0         0         0
l2860479                 6.413     0.8907          0          0         0         0
m1026854                 6.654     0.9242     0.1452      2.181    0.2645     3.975
p901894                  6.374     0.8854          0          0         0         0
m1026485                  6.64     0.9223          0          0         0         0
m1026492                  6.64     0.9222          0          0         0         0
d6413567_3_int           6.927     0.9621    0.03336     0.4815   0.08689     1.254
e182724                  6.927     0.9621    0.03338     0.4818   0.08688     1.254
n1139541                 6.928     0.9623    0.03294     0.4754   0.08698     1.255
m4122658                 7.151     0.9932    0.07035     0.9838    0.1144       1.6
l2933135                  7.11     0.9875    0.07763      1.092     0.129     1.815
l2729414                 6.589     0.9152     0.1312      1.991    0.2475     3.757
l2729430                 6.448     0.8956          0          0         0         0
l2766742                 6.441     0.8947          0          0         0         0
m1026972                 6.237     0.8663          0          0         0         0
l2860483                 6.237     0.8663          0          0         0         0
l2860490                 6.841     0.9502     0.0625     0.9135     0.107     1.564
l3104134                 6.837     0.9497    0.06333     0.9263    0.1073      1.57
m1089144                 7.118     0.9887          0          0         0         0
p827522                  7.118     0.9887          0          0         0         0
m1089118                 6.978     0.9692    0.02663     0.3817   0.08816     1.263
l3048208                 7.034      0.977          0          0         0         0
m1108505                 7.069     0.9819    0.08467      1.198    0.1445     2.045
l2955047                 7.065     0.9813    0.08523      1.206    0.1461     2.068
m1089148                 7.115     0.9883          0          0         0         0
l2766721                 7.115     0.9882          0          0         0         0
m1026745                 6.323     0.8783          0          0         0         0
l3029183                 6.323     0.8782          0          0         0         0
l2710512                 6.211     0.8627          0          0         0         0
m1047828                 6.207     0.8621          0          0         0         0
m1047342                 6.844     0.9506          0          0         0         0
l3197645                 6.844     0.9506          0          0         0         0
m1069192                 6.955     0.9661          0          0         0         0
l3235253                 6.955      0.966          0          0         0         0
l3214071                  7.25      1.007     0.0525     0.7242    0.0744     1.026
m1125952                 7.245      1.006    0.05324     0.7349   0.07611     1.051
m1027101                 6.208     0.8622          0          0         0         0
l2860480                 6.207     0.8622          0          0         0         0
l2710517                 6.244     0.8673          0          0         0         0
m1026646                 6.243     0.8671          0          0         0         0
m1069662                 6.718      0.933          0          0         0         0
l2935547                 6.717      0.933          0          0         0         0
m1026931                 6.354     0.8825          0          0         0         0
l3216336                 6.353     0.8825          0          0         0         0
l3142049                 7.089     0.9846    0.08127      1.146    0.1369     1.931
m1108493                 7.083     0.9838     0.0823      1.162    0.1392     1.965
m1069169                 6.919      0.961    0.03598       0.52   0.08642     1.249
l3010556                 6.914     0.9603    0.03767     0.5448   0.08737     1.264
l2991933                 6.973     0.9685          0          0         0         0
l3122837                 6.972     0.9684          0          0         0         0
l2691936                 6.353     0.8824          0          0         0         0
l2897772                 6.794     0.9437          0          0         0         0
l3101814                 6.794     0.9437          0          0         0         0
l2766732                  6.64     0.9223          0          0         0         0
l2989564                 6.718     0.9331          0          0         0         0
m1126016                 6.917     0.9608          0          0         0         0
l3120534                 6.917     0.9607          0          0         0         0
m1026330                 6.744     0.9368    0.09417      1.396    0.1477     2.191
l2766726                  6.54     0.9084          0          0         0         0
p901912                  6.573     0.9129          0          0         0         0
l3195365                 6.573     0.9129          0          0         0         0
m1108381                 7.158     0.9942    0.07004     0.9785    0.1126     1.573
l3254237                 7.157      0.994    0.07007     0.9791    0.1127     1.575
l2804262                 6.372      0.885          0          0         0         0
l2841639                  6.37     0.8847          0          0         0         0
n1230123                 7.083     0.9838          0          0         0         0
l2708744                 7.081     0.9835          0          0         0         0
m1069519                 6.911       0.96     0.1109      1.604    0.2232      3.23
p901927                  6.805     0.9453          0          0         0         0
l2897790                 7.224      1.003          0          0         0         0
l2935566                 7.224      1.003          0          0         0         0
l3216337                 6.354     0.8825          0          0         0         0
p901931                  7.225      1.003          0          0         0         0
m1069548                 7.225      1.003          0          0         0         0
m1010013                 6.179     0.8582          0          0         0         0
l3120503                 6.179     0.8582          0          0         0         0
m1089145                 7.067     0.9816    0.02519     0.3564   0.08312     1.176
l3215385                 7.067     0.9816    0.02519     0.3565   0.08314     1.176
m1026852                 6.649     0.9235     0.1461      2.197    0.2665     4.008
m1069420                 6.578     0.9137     0.1229      1.868    0.2343     3.561
l3157708                 7.003     0.9727          0          0         0         0
n1137991                 7.003     0.9727          0          0         0         0
m1108413                 7.066     0.9814          0          0         0         0
m1108460                 7.063     0.9811          0          0         0         0
p827532                  6.822     0.9476          0          0         0         0
m1047326                 6.822     0.9476          0          0         0         0
e182732                   6.61      0.918     0.1302       1.97     0.244     3.691
m1026760                 6.609      0.918     0.1302      1.971    0.2441     3.693
l3048205                 7.132     0.9906          0          0         0         0
m1108361                 7.119     0.9887          0          0         0         0
m3036169                 6.247     0.8677          0          0         0         0
l2673317                 6.247     0.8677          0          0         0         0
l3178981                 6.698     0.9303          0          0         0         0
m1047368                 6.686     0.9287          0          0         0         0
n1136354                  6.91     0.9598     0.1109      1.606    0.2266      3.28
l2879794                 7.239      1.006          0          0         0         0
m1142811                 7.239      1.005          0          0         0         0
m1069565                 6.765     0.9396          0          0         0         0
l2785536                 6.764     0.9395          0          0         0         0
l3104114                 6.427     0.8927          0          0         0         0
m1009824                 6.424     0.8923          0          0         0         0
l2745848                 6.609      0.918     0.1245      1.884    0.2301     3.482
l2673308                 6.608     0.9178     0.1245      1.884    0.2304     3.487
l2991939                 6.604     0.9173     0.1243      1.882    0.2309     3.496
l2916606                 7.152     0.9934          0          0         0         0
l2822864                 7.152     0.9933          0          0         0         0
m1142851                 7.337      1.019    0.03884     0.5294   0.04789    0.6527
196_31070                7.336      1.019    0.03902      0.532   0.04814    0.6562
m1209822                 7.437      1.033          0          0         0         0
m1209823                 7.434      1.033          0          0         0         0
m1069550                 6.769     0.9402          0          0         0         0
m1069551                 6.769     0.9401          0          0         0         0
l3141397                 6.237     0.8662          0          0         0         0
l3649299                 6.401     0.8891          0          0         0         0
m3772794                 6.401     0.8891          0          0         0         0
p895106                  7.138     0.9915          0          0         0         0
l3048887                 7.138     0.9914          0          0         0         0
m1047824                 6.213      0.863          0          0         0         0
m1047834                 6.209     0.8624          0          0         0         0
m1069350                  6.56     0.9112     0.1192      1.817    0.2298     3.503
n1144668                  6.56     0.9112      0.119      1.814    0.2293     3.495
l2879072                 6.377     0.8857          0          0         0         0
m1047441                 6.364     0.8839          0          0         0         0
m1108274                 6.867     0.9538          0          0         0         0
m1108269                 6.867     0.9538          0          0         0         0
l3235244                 6.364     0.8839          0          0         0         0
m1069398                 6.364     0.8839          0          0         0         0
n1147862                 6.286     0.8731          0          0         0         0
l2685805                 6.286     0.8731          0          0         0         0
m1069247                 6.369     0.8847          0          0         0         0
m1069248                 6.369     0.8846          0          0         0         0
l2786273                 6.866     0.9537          0          0         0         0
m1108278                 6.865     0.9536          0          0         0         0
l3254238                 6.787     0.9427    0.07516      1.107    0.1189     1.752
m1047303                 6.782      0.942    0.07624      1.124    0.1207     1.779
m1047633                 7.038     0.9776          0          0         0         0
l2897554                 7.038     0.9775          0          0         0         0
m1069627                 6.716     0.9329          0          0         0         0
l2897791                 6.715     0.9327          0          0         0         0
m1089097                 6.871     0.9543          0          0         0         0
m1108270                  6.87     0.9542          0          0         0         0
n1142101                 6.964     0.9673          0          0         0         0
l2936214                 6.964     0.9673          0          0         0         0
l3066810                 6.921     0.9613          0          0         0         0
l2897769                  6.92     0.9612          0          0         0         0
m1209758                 7.409      1.029          0          0         0         0
m1209753                 7.408      1.029          0          0         0         0
m1047528                 6.718     0.9332      0.132      1.965    0.2424     3.608
l2858166                 6.718     0.9331     0.1321      1.966    0.2425      3.61
m1142843                 7.349      1.021    0.03705     0.5041   0.04563    0.6209
l3081380                 7.347       1.02    0.03678     0.5006   0.04606    0.6269
l2804272                 6.768     0.9401          0          0         0         0
l2841641                 6.768     0.9401          0          0         0         0
m1069393                 6.399     0.8888          0          0         0         0
m1069408                 6.395     0.8882          0          0         0         0
n1142104                 7.074     0.9826     0.0838      1.185    0.1426     2.015
m1108500                 7.071     0.9821    0.08436      1.193    0.1438     2.034
l3216348                 6.218     0.8636          0          0         0         0
l2841627                 6.216     0.8634          0          0         0         0
l2916599                 6.358     0.8832          0          0         0         0
m1047447                  6.35     0.8819          0          0         0         0
l2954349                 6.349     0.8819          0          0         0         0
l3235246                 6.213      0.863          0          0         0         0
m1125911                 7.129     0.9902          0          0         0         0
l2711224                 7.128       0.99          0          0         0         0
n1147863                 6.984     0.9701          0          0         0         0
l3122817                 6.984     0.9701          0          0         0         0
m1186061                 7.444      1.034    0.02034     0.2733   0.02733    0.3672
l2861223                 7.411      1.029          0          0         0         0
m1069130                 6.871     0.9544          0          0         0         0
l3085396                 6.871     0.9544          0          0         0         0
e182730                  6.336       0.88          0          0         0         0
n1142109                 6.336       0.88          0          0         0         0
m1069417                  6.57     0.9125     0.1224      1.863    0.2358     3.589
n1138597                 6.569     0.9125     0.1224      1.863    0.2359     3.591
m1026987                  6.23     0.8654          0          0         0         0
m1026990                 6.229     0.8652          0          0         0         0
m1142832                 7.341       1.02    0.03621     0.4932   0.04748    0.6467
l3160865                  7.34       1.02    0.03608     0.4915     0.048     0.654
l2673323                 6.973     0.9685          0          0         0         0
m1009809                 6.972     0.9684          0          0         0         0
l2822869                 6.648     0.9234     0.1291      1.941    0.2385     3.588
m1026808                 6.643     0.9227     0.1289      1.941    0.2389     3.596
m1047825                 6.201     0.8612          0          0         0         0
m1069731                 6.199      0.861          0          0         0         0
n1140520                 6.968     0.9679          0          0         0         0
l2729410                 6.968     0.9679          0          0         0         0
l3178978                 6.238     0.8665          0          0         0         0
m1069384                 6.365     0.8841          0          0         0         0
l3066805                 6.365     0.8841          0          0         0         0
m4362181                 6.332     0.8796          0          0         0         0
m1047319                 6.944     0.9644          0          0         0         0
m1047318                 6.943     0.9644          0          0         0         0
l3216358                 6.348     0.8817          0          0         0         0
m1026826                 6.346     0.8815          0          0         0         0
m1108276                 6.866     0.9537          0          0         0         0
m1089198                 6.981     0.9697     0.0989      1.417    0.1828     2.618
m1089201                  6.97     0.9681     0.1009      1.447    0.1883     2.702
m1047763                  6.56     0.9111     0.2129      3.245    0.3487     5.317
n1136027                 6.329     0.8791          0          0         0         0
l3101827                  7.27       1.01          0          0         0         0
m1108540                 7.267      1.009          0          0         0         0
m1026335                 6.738     0.9359          0          0         0         0
l2804259                 6.738     0.9359          0          0         0         0
n1136357                 7.225      1.003          0          0         0         0
m1047513                 6.673     0.9269     0.1297      1.944     0.238     3.566
m1047507                 6.662     0.9253     0.1295      1.944    0.2376     3.567
m1142863                 7.324      1.017    0.04078     0.5568    0.0507    0.6923
n1141480                 7.413       1.03          0          0         0         0
m1125916                  7.13     0.9904          0          0         0         0
l2879767                  7.13     0.9904          0          0         0         0
l3066809                 6.931     0.9626          0          0         0         0
m1069487                 6.929     0.9624          0          0         0         0
m1142818                 7.217      1.002     0.0239     0.3312    0.0573    0.7939
p829965                  7.216      1.002    0.02414     0.3346   0.05709    0.7912
q14733                   6.799     0.9444     0.1239      1.822    0.2316     3.406
m1047568                 6.797     0.9441     0.1241      1.826    0.2318      3.41
m1047322                 6.822     0.9476          0          0         0         0
l2954338                 6.423     0.8921          0          0         0         0
m1047409                 6.219     0.8639          0          0         0         0
l2841648                 6.219     0.8638          0          0         0         0
m1089177                 7.065     0.9814          0          0         0         0
m1026951                 6.477     0.8996          0          0         0         0
l2954347                 6.476     0.8995          0          0         0         0
m4122657                 7.373      1.024          0          0         0         0
l3027124                 7.373      1.024          0          0         0         0
m1069419                 6.573      0.913     0.1226      1.865    0.2352     3.578
m1069418                 6.572     0.9128     0.1225      1.864    0.2354     3.582
m1026824                 6.565     0.9119     0.1607      2.448    0.2943     4.482
p859694                  6.974     0.9687          0          0         0         0
m1047453                 6.337     0.8801          0          0         0         0
l2691948                 6.337     0.8801          0          0         0         0
p860892                   6.98     0.9695          0          0         0         0
n1139543                  6.98     0.9695          0          0         0         0
m1089205                 6.789     0.9429          0          0         0         0
n1134472                 6.789     0.9429          0          0         0         0
l2710542                  6.45     0.8959          0          0         0         0
m3032980                 7.447      1.034    0.02056     0.2761   0.02687    0.3609
m3032977                  7.43      1.032    0.02368     0.3187   0.02942     0.396
m3763618                 6.684     0.9284     0.1375      2.057    0.2511     3.756
p1121282                 7.032     0.9767          0          0         0         0
l2917330                 7.239      1.005          0          0         0         0
l2861222                 7.238      1.005          0          0         0         0
m1047490                 6.642     0.9226     0.1291      1.943    0.2361     3.554
p1164481                 6.398     0.8886          0          0         0         0
m1069356                  6.89     0.9571          0          0         0         0
m1069363                  6.89      0.957          0          0         0         0
p828359                  7.041      0.978          0          0         0         0
l2878848                 7.039     0.9778          0          0         0         0
m1047486                 6.625     0.9202     0.1267      1.912    0.2324     3.507
l3177665                 6.393      0.888          0          0         0         0
l2805036                 6.865     0.9536          0          0         0         0
l2692654                 7.244      1.006          0          0         0         0
m1125929                 7.244      1.006          0          0         0         0
m1047669                 6.639     0.9222     0.1608      2.422     0.279     4.202
m1047672                 6.639     0.9222     0.1609      2.424    0.2791     4.204
m1125919                 7.209      1.001    0.02273     0.3153   0.06564    0.9106
p829961                  7.245      1.006          0          0         0         0
m1142819                 7.218      1.003    0.02405     0.3332   0.05607    0.7768
p829960                   7.15     0.9931          0          0         0         0
p829979                  7.413       1.03          0          0         0         0
m3036172                 7.412       1.03          0          0         0         0
m1026883                 7.029     0.9763          0          0         0         0
m1026898                 7.029     0.9763          0          0         0         0
m1089143                 7.067     0.9816    0.02519     0.3564   0.08307     1.175
l3141400                 7.118     0.9887          0          0         0         0
m1069481                  6.61     0.9181     0.1246      1.884      0.23     3.479
p827507                  6.938     0.9637          0          0         0         0
m1026377                 6.727     0.9344          0          0         0         0
l3048210                 6.727     0.9343          0          0         0         0
e182722                  6.369     0.8846          0          0         0         0
m1026331                 6.746     0.9369    0.09334      1.384    0.1459     2.164
l3214055                 6.956     0.9661          0          0         0         0
m1108295                  7.17     0.9959    0.02203     0.3072   0.08143     1.136
l2936279                 7.158     0.9943    0.02229     0.3114   0.08171     1.141
m1026704                 6.323     0.8782          0          0         0         0
l2841634                 6.323     0.8782          0          0         0         0
m1047386                 6.664     0.9256          0          0         0         0
m1047379                 6.663     0.9255          0          0         0         0
m1089115                 6.959     0.9666    0.02644     0.3799   0.08871     1.275
m1026486                  6.64     0.9223          0          0         0         0
m1026488                  6.64     0.9223          0          0         0         0
l3010570                 6.738     0.9359          0          0         0         0
p904451                  7.069     0.9818          0          0         0         0
221_282819               7.068     0.9818          0          0         0         0
m1125968                 7.213      1.002    0.05874     0.8144   0.08935     1.239
p895107                   7.36      1.022          0          0         0         0
n1136999                 6.395     0.8882          0          0         0         0
m1069412                 6.389     0.8874          0          0         0         0
l2879061                 6.389     0.8874          0          0         0         0
m1026947                 6.477     0.8996          0          0         0         0
m1142880                 7.354      1.021          0          0         0         0
l2891575                 7.353      1.021          0          0         0         0
m1026848                 6.308     0.8762          0          0         0         0
m1026847                 6.308     0.8762          0          0         0         0
l2897793                 6.661     0.9253          0          0         0         0
m1069521                 6.661     0.9252          0          0         0         0
m1069175                 6.932     0.9628    0.03172     0.4575   0.08727     1.259
l3197637                 6.987     0.9705          0          0         0         0
l3197635                 6.364     0.8839          0          0         0         0
l2804257                 6.461     0.8974          0          0         0         0
l2860485                 6.461     0.8974          0          0         0         0
l3235945                 7.265      1.009          0          0         0         0
l2842330                 7.265      1.009          0          0         0         0
l2804254                 6.325     0.8785          0          0         0         0
m1047752                 6.325     0.8785          0          0         0         0
m1166370                 7.463      1.037          0          0         0         0
m1166364                 7.463      1.037          0          0         0         0
m3763619                 6.684     0.9284     0.1376      2.058    0.2512     3.758
m3037540                  7.11     0.9875          0          0         0         0
l2710509                  7.11     0.9875          0          0         0         0
l2763072                 6.507     0.9037          0          0         0         0
m4118754                 6.503     0.9033          0          0         0         0
m1089196                 6.988     0.9707     0.0977      1.398    0.1794     2.568
m1047484                 6.621     0.9197     0.1261      1.904    0.2316     3.497
l3010560                 6.619     0.9194     0.1258        1.9    0.2311     3.492
