
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"m1142800.2"       ,    0.00002,  7.20684E+0003,  7.19956E+0003
"m1142799.2"       ,    0.00002,  7.20667E+0003,  7.19956E+0003
"m1047592.3"       ,    0.00001,  7.52406E+0003,  7.19956E+0003
"p827512.3"        ,    0.00001,  7.52404E+0003,  7.19956E+0003
"m1047339.1"       ,    0.00005,  7.07229E+0003,  7.19956E+0003
"p895104.1"        ,    0.00005,  7.07224E+0003,  7.19956E+0003
"m1026915.1"       ,    0.00010,  7.14295E+0003,  7.19956E+0003
"m1026915.2"       ,    0.00006,  7.72386E+0003,  7.19956E+0003
"m1026915.3"       ,    0.00001,  7.48842E+0003,  7.19956E+0003
"m1026920.1"       ,    0.00010,  7.14083E+0003,  7.19956E+0003
"m1026920.2"       ,    0.00006,  7.72293E+0003,  7.19956E+0003
"m1026920.3"       ,    0.00001,  7.48742E+0003,  7.19956E+0003
"n1138596.1"       ,    0.00010,  7.19707E+0003,  7.19956E+0003
"l3254207.1"       ,    0.00010,  7.19655E+0003,  7.19956E+0003
"m1069464.2"       ,    0.00006,  7.67774E+0003,  7.19956E+0003
"p873787.2"        ,    0.00006,  7.67772E+0003,  7.19956E+0003
"n1144665.1"       ,    0.00010,  7.29113E+0003,  7.19956E+0003
"n1144665.2"       ,    0.00006,  7.80694E+0003,  7.19956E+0003
"n1144665.3"       ,    0.00001,  7.51694E+0003,  7.19956E+0003
"m1047515.1"       ,    0.00010,  7.28569E+0003,  7.19956E+0003
"m1047515.2"       ,    0.00006,  7.80326E+0003,  7.19956E+0003
"m1047515.3"       ,    0.00001,  7.51224E+0003,  7.19956E+0003
"n1137002.1"       ,    0.00010,  7.25696E+0003,  7.19956E+0003
"m1047707.1"       ,    0.00010,  7.25664E+0003,  7.19956E+0003
"l2729406.3"       ,    0.00001,  7.27238E+0003,  7.19956E+0003
"l2897768.3"       ,    0.00001,  7.27185E+0003,  7.19956E+0003
"l3649301.1"       ,    0.00010,  7.23336E+0003,  7.19956E+0003
"l3649302.1"       ,    0.00010,  7.23297E+0003,  7.19956E+0003
"l2970842.2"       ,    0.00003,  7.40697E+0003,  7.19956E+0003
"m1089113.2"       ,    0.00003,  7.40555E+0003,  7.19956E+0003
"m1047312.1"       ,    0.00005,  7.03727E+0003,  7.19956E+0003
"p893163.1"        ,    0.00005,  7.03719E+0003,  7.19956E+0003
"l2822871.1"       ,    0.00010,  7.17739E+0003,  7.19956E+0003
"l2822871.2"       ,    0.00006,  7.75643E+0003,  7.19956E+0003
"l2822871.3"       ,    0.00001,  7.49954E+0003,  7.19956E+0003
"m1026872.1"       ,    0.00010,  7.17466E+0003,  7.19956E+0003
"m1026872.2"       ,    0.00006,  7.75385E+0003,  7.19956E+0003
"m1026872.3"       ,    0.00001,  7.49859E+0003,  7.19956E+0003
"m1026312.2"       ,    0.00003,  6.98983E+0003,  7.19956E+0003
"l2973163.2"       ,    0.00003,  6.98708E+0003,  7.19956E+0003
"l3728038.1"       ,    0.00010,  7.22201E+0003,  7.19956E+0003
"l3728039.1"       ,    0.00010,  7.22147E+0003,  7.19956E+0003
"m1069567.2"       ,    0.00005,  7.30093E+0003,  7.19956E+0003
"m1069582.2"       ,    0.00005,  7.29184E+0003,  7.19956E+0003
"n1140830.1"       ,    0.00010,  7.08282E+0003,  7.19956E+0003
"l3216351.1"       ,    0.00010,  7.08273E+0003,  7.19956E+0003
"l2952007.3"       ,    0.00000,  7.38259E+0003,  7.19956E+0003
"l2861158.3"       ,    0.00000,  7.38225E+0003,  7.19956E+0003
"n1140827.1"       ,    0.00010,  7.08827E+0003,  7.19956E+0003
"n1140827.2"       ,    0.00006,  7.76556E+0003,  7.19956E+0003
"n1140827.3"       ,    0.00001,  7.38315E+0003,  7.19956E+0003
"m1026726.1"       ,    0.00010,  7.08819E+0003,  7.19956E+0003
"m1026726.2"       ,    0.00006,  7.76544E+0003,  7.19956E+0003
"m1026726.3"       ,    0.00001,  7.38308E+0003,  7.19956E+0003
"l2730106.1"       ,    0.00006,  6.76219E+0003,  7.19956E+0003
"l2730106.2"       ,    0.00003,  7.06365E+0003,  7.19956E+0003
"l2730106.3"       ,    0.00001,  7.47192E+0003,  7.19956E+0003
"n1142099.1"       ,    0.00006,  6.75940E+0003,  7.19956E+0003
"n1142099.2"       ,    0.00003,  7.06244E+0003,  7.19956E+0003
"n1142099.3"       ,    0.00001,  7.47191E+0003,  7.19956E+0003
"m1026658.1"       ,    0.00010,  7.08099E+0003,  7.19956E+0003
"l3172805.1"       ,    0.00010,  7.08080E+0003,  7.19956E+0003
"p895112.1"        ,    0.00004,  7.07809E+0003,  7.19956E+0003
"l3048962.1"       ,    0.00004,  7.07803E+0003,  7.19956E+0003
"l2991914.1"       ,    0.00010,  7.23737E+0003,  7.19956E+0003
"l2991914.2"       ,    0.00006,  7.77795E+0003,  7.19956E+0003
"l2991914.3"       ,    0.00001,  7.47352E+0003,  7.19956E+0003
"m1047503.1"       ,    0.00010,  7.23359E+0003,  7.19956E+0003
"m1047503.2"       ,    0.00006,  7.77770E+0003,  7.19956E+0003
"m1047503.3"       ,    0.00001,  7.47121E+0003,  7.19956E+0003
"m1047751.1"       ,    0.00010,  7.21381E+0003,  7.19956E+0003
"l2973154.1"       ,    0.00010,  7.21376E+0003,  7.19956E+0003
"l3010565.3"       ,    0.00001,  7.37944E+0003,  7.19956E+0003
"l2897775.3"       ,    0.00001,  7.37917E+0003,  7.19956E+0003
"m1125955.3"       ,    0.00001,  7.47094E+0003,  7.19956E+0003
"m1125957.3"       ,    0.00001,  7.47092E+0003,  7.19956E+0003
"m1069640.2"       ,    0.00005,  7.26446E+0003,  7.19956E+0003
"l2804269.2"       ,    0.00005,  7.26372E+0003,  7.19956E+0003
"m1026702.1"       ,    0.00010,  7.11268E+0003,  7.19956E+0003
"m1026702.2"       ,    0.00006,  7.76898E+0003,  7.19956E+0003
"m1026702.3"       ,    0.00001,  7.40189E+0003,  7.19956E+0003
"n1139551.1"       ,    0.00010,  7.10111E+0003,  7.19956E+0003
"n1139551.2"       ,    0.00006,  7.76855E+0003,  7.19956E+0003
"n1139551.3"       ,    0.00001,  7.39543E+0003,  7.19956E+0003
"n1136355.2"       ,    0.00005,  7.34153E+0003,  7.19956E+0003
"l2783231.2"       ,    0.00005,  7.33421E+0003,  7.19956E+0003
"l2748143.1"       ,    0.00008,  6.91720E+0003,  7.19956E+0003
"l3251854.1"       ,    0.00008,  6.91708E+0003,  7.19956E+0003
"m1069610.2"       ,    0.00005,  7.27548E+0003,  7.19956E+0003
"m1069600.2"       ,    0.00005,  7.27537E+0003,  7.19956E+0003
"m1069424.1"       ,    0.00010,  7.20604E+0003,  7.19956E+0003
"m1069424.2"       ,    0.00006,  7.64880E+0003,  7.19956E+0003
"m1069424.3"       ,    0.00001,  7.41353E+0003,  7.19956E+0003
"l2935549.1"       ,    0.00010,  7.20494E+0003,  7.19956E+0003
"l2935549.2"       ,    0.00006,  7.64485E+0003,  7.19956E+0003
"l2935549.3"       ,    0.00001,  7.41221E+0003,  7.19956E+0003
"p895089.3"        ,    0.00001,  7.57120E+0003,  7.19956E+0003
"l3235242.3"       ,    0.00001,  7.57098E+0003,  7.19956E+0003
"m1026795.3"       ,    0.00001,  7.44915E+0003,  7.19956E+0003
"n1140522.3"       ,    0.00001,  7.44912E+0003,  7.19956E+0003
"l3030199.1"       ,    0.00004,  7.12432E+0003,  7.19956E+0003
"l3030199.2"       ,    0.00002,  7.20822E+0003,  7.19956E+0003
"l3030199.3"       ,    0.00001,  7.45277E+0003,  7.19956E+0003
"m1125934.1"       ,    0.00004,  7.12429E+0003,  7.19956E+0003
"m1125934.2"       ,    0.00002,  7.20727E+0003,  7.19956E+0003
"m1125934.3"       ,    0.00001,  7.45210E+0003,  7.19956E+0003
"m1069189.3"       ,    0.00001,  7.39828E+0003,  7.19956E+0003
"l2860487.3"       ,    0.00001,  7.39815E+0003,  7.19956E+0003
"221-312488.1"     ,    0.00005,  6.80275E+0003,  7.19956E+0003
"221-312488.2"     ,    0.00003,  7.06131E+0003,  7.19956E+0003
"221-312488.3"     ,    0.00001,  7.46282E+0003,  7.19956E+0003
"m1089183.1"       ,    0.00005,  6.80274E+0003,  7.19956E+0003
"m1089183.2"       ,    0.00003,  7.06130E+0003,  7.19956E+0003
"m1089183.3"       ,    0.00001,  7.46281E+0003,  7.19956E+0003
"m1108464.2"       ,    0.00003,  7.05883E+0003,  7.19956E+0003
"l3102286.2"       ,    0.00003,  7.05832E+0003,  7.19956E+0003
"f739845.1"        ,    0.00005,  7.01970E+0003,  7.19956E+0003
"f739845.2"        ,    0.00003,  7.11738E+0003,  7.19956E+0003
"f739845.3"        ,    0.00001,  7.37202E+0003,  7.19956E+0003
"293471.1"         ,    0.00005,  7.01964E+0003,  7.19956E+0003
"293471.2"         ,    0.00003,  7.11730E+0003,  7.19956E+0003
"293471.3"         ,    0.00001,  7.37195E+0003,  7.19956E+0003
"p827499.1"        ,    0.00010,  7.20377E+0003,  7.19956E+0003
"n1139254.1"       ,    0.00010,  7.20375E+0003,  7.19956E+0003
"m1026657.1"       ,    0.00010,  7.07750E+0003,  7.19956E+0003
"m1026656.1"       ,    0.00010,  7.07727E+0003,  7.19956E+0003
"m1108299.2"       ,    0.00002,  7.17592E+0003,  7.19956E+0003
"m1108300.2"       ,    0.00002,  7.17590E+0003,  7.19956E+0003
"l3198355.2"       ,    0.00002,  7.17551E+0003,  7.19956E+0003
"l2805037.2"       ,    0.00002,  7.17551E+0003,  7.19956E+0003
"n1137994.3"       ,    0.00001,  7.43221E+0003,  7.19956E+0003
"m1069484.3"       ,    0.00001,  7.43074E+0003,  7.19956E+0003
"l2860504.1"       ,    0.00010,  7.08390E+0003,  7.19956E+0003
"l2860493.1"       ,    0.00010,  7.08317E+0003,  7.19956E+0003
"m1026783.1"       ,    0.00010,  7.18606E+0003,  7.19956E+0003
"m1026783.2"       ,    0.00006,  7.77477E+0003,  7.19956E+0003
"m1026783.3"       ,    0.00001,  7.44316E+0003,  7.19956E+0003
"m1026780.1"       ,    0.00010,  7.18428E+0003,  7.19956E+0003
"m1026780.2"       ,    0.00006,  7.77463E+0003,  7.19956E+0003
"m1026780.3"       ,    0.00001,  7.44219E+0003,  7.19956E+0003
"p895111.3"        ,    0.00001,  7.47278E+0003,  7.19956E+0003
"l2895496.3"       ,    0.00001,  7.47244E+0003,  7.19956E+0003
"n1140819.1"       ,    0.00010,  7.09274E+0003,  7.19956E+0003
"n1140819.2"       ,    0.00006,  7.76652E+0003,  7.19956E+0003
"n1140819.3"       ,    0.00001,  7.38762E+0003,  7.19956E+0003
"m1026700.1"       ,    0.00010,  7.09155E+0003,  7.19956E+0003
"m1026700.2"       ,    0.00006,  7.76618E+0003,  7.19956E+0003
"m1026700.3"       ,    0.00001,  7.38636E+0003,  7.19956E+0003
"m1089173.3"       ,    0.00001,  7.27518E+0003,  7.19956E+0003
"l2935551.3"       ,    0.00001,  7.27419E+0003,  7.19956E+0003
"m1026344.1"       ,    0.00005,  6.97251E+0003,  7.19956E+0003
"m1026364.1"       ,    0.00005,  6.97220E+0003,  7.19956E+0003
"l2879070.1"       ,    0.00010,  7.25328E+0003,  7.19956E+0003
"l2879070.2"       ,    0.00006,  7.79169E+0003,  7.19956E+0003
"l2879070.3"       ,    0.00001,  7.52036E+0003,  7.19956E+0003
"l3216345.1"       ,    0.00010,  7.24503E+0003,  7.19956E+0003
"l3216345.2"       ,    0.00006,  7.78942E+0003,  7.19956E+0003
"l3216345.3"       ,    0.00001,  7.51830E+0003,  7.19956E+0003
"m1069428.2"       ,    0.00006,  7.65214E+0003,  7.19956E+0003
"n1139257.2"       ,    0.00006,  7.65210E+0003,  7.19956E+0003
"l2991919.1"       ,    0.00005,  6.96834E+0003,  7.19956E+0003
"m1026361.1"       ,    0.00005,  6.96571E+0003,  7.19956E+0003
"n1147857.1"       ,    0.00010,  7.09722E+0003,  7.19956E+0003
"m1009742.1"       ,    0.00010,  7.09547E+0003,  7.19956E+0003
"q14412.1"         ,    0.00005,  7.06283E+0003,  7.19956E+0003
"q14412.2"         ,    0.00003,  7.17108E+0003,  7.19956E+0003
"q14412.3"         ,    0.00001,  7.38444E+0003,  7.19956E+0003
"m1047325.1"       ,    0.00005,  7.06014E+0003,  7.19956E+0003
"m1047325.2"       ,    0.00003,  7.16842E+0003,  7.19956E+0003
"m1047325.3"       ,    0.00001,  7.38375E+0003,  7.19956E+0003
"n1139263.1"       ,    0.00010,  7.21510E+0003,  7.19956E+0003
"l3048227.1"       ,    0.00010,  7.21503E+0003,  7.19956E+0003
"p827506.1"        ,    0.00010,  7.21514E+0003,  7.19956E+0003
"m1069469.1"       ,    0.00010,  7.21512E+0003,  7.19956E+0003
"m1027019.2"       ,    0.00006,  7.68876E+0003,  7.19956E+0003
"l2785522.2"       ,    0.00006,  7.68865E+0003,  7.19956E+0003
"l3216338.2"       ,    0.00006,  7.63168E+0003,  7.19956E+0003
"l2973146.2"       ,    0.00006,  7.63158E+0003,  7.19956E+0003
"m3037452.1"       ,    0.00005,  6.95800E+0003,  7.19956E+0003
"l2973164.1"       ,    0.00005,  6.95793E+0003,  7.19956E+0003
"l3120376.1"       ,    0.00010,  7.18914E+0003,  7.19956E+0003
"m1026925.1"       ,    0.00010,  7.18741E+0003,  7.19956E+0003
"m1047612.3"       ,    0.00001,  7.53170E+0003,  7.19956E+0003
"p828360.3"        ,    0.00001,  7.53168E+0003,  7.19956E+0003
"m1089195.3"       ,    0.00001,  7.57072E+0003,  7.19956E+0003
"l3141393.3"       ,    0.00001,  7.57051E+0003,  7.19956E+0003
"m1026946.2"       ,    0.00006,  7.70395E+0003,  7.19956E+0003
"m1026940.2"       ,    0.00006,  7.70344E+0003,  7.19956E+0003
"m1047471.2"       ,    0.00006,  7.51446E+0003,  7.19956E+0003
"l3216349.2"       ,    0.00006,  7.51444E+0003,  7.19956E+0003
"m1047401.1"       ,    0.00010,  7.02622E+0003,  7.19956E+0003
"l2748132.1"       ,    0.00010,  7.02614E+0003,  7.19956E+0003
"l3122820.1"       ,    0.00010,  7.05631E+0003,  7.19956E+0003
"l3141398.1"       ,    0.00010,  7.05625E+0003,  7.19956E+0003
"m1108360.3"       ,    0.00001,  7.34881E+0003,  7.19956E+0003
"l3048968.3"       ,    0.00001,  7.34859E+0003,  7.19956E+0003
"l2801950.3"       ,    0.00001,  7.35971E+0003,  7.19956E+0003
"m1069224.3"       ,    0.00001,  7.35904E+0003,  7.19956E+0003
"l2766746.3"       ,    0.00001,  7.41081E+0003,  7.19956E+0003
"m1027073.3"       ,    0.00001,  7.40869E+0003,  7.19956E+0003
"m1142873.3"       ,    0.00001,  7.47219E+0003,  7.19956E+0003
"m1069181.1"       ,    0.00005,  7.19336E+0003,  7.19956E+0003
"l2973151.1"       ,    0.00005,  7.19169E+0003,  7.19956E+0003
"l3179682.3"       ,    0.00001,  7.43097E+0003,  7.19956E+0003
"l2786274.3"       ,    0.00001,  7.43090E+0003,  7.19956E+0003
"l3066816.1"       ,    0.00010,  7.08181E+0003,  7.19956E+0003
"m1026667.1"       ,    0.00010,  7.08139E+0003,  7.19956E+0003
"m1108529.1"       ,    0.00006,  7.13240E+0003,  7.19956E+0003
"m1108529.2"       ,    0.00004,  7.46010E+0003,  7.19956E+0003
"m1108529.3"       ,    0.00001,  7.56563E+0003,  7.19956E+0003
"m1108532.1"       ,    0.00006,  7.12973E+0003,  7.19956E+0003
"m1108532.2"       ,    0.00004,  7.45874E+0003,  7.19956E+0003
"m1108532.3"       ,    0.00001,  7.56573E+0003,  7.19956E+0003
"l2766723.1"       ,    0.00010,  7.08295E+0003,  7.19956E+0003
"l3122822.1"       ,    0.00010,  7.08281E+0003,  7.19956E+0003
"l2673312.1"       ,    0.00010,  7.08483E+0003,  7.19956E+0003
"l3235247.1"       ,    0.00010,  7.08466E+0003,  7.19956E+0003
"m1166391.3"       ,    0.00000,  7.39740E+0003,  7.19956E+0003
"l3254873.3"       ,    0.00000,  7.39338E+0003,  7.19956E+0003
"l2861157.3"       ,    0.00000,  7.43674E+0003,  7.19956E+0003
"p901951.3"        ,    0.00000,  7.43303E+0003,  7.19956E+0003
"m1047346.1"       ,    0.00005,  7.08695E+0003,  7.19956E+0003
"m1047346.2"       ,    0.00003,  7.19378E+0003,  7.19956E+0003
"m1047346.3"       ,    0.00001,  7.39006E+0003,  7.19956E+0003
"m1047345.1"       ,    0.00005,  7.08305E+0003,  7.19956E+0003
"m1047345.2"       ,    0.00003,  7.19049E+0003,  7.19956E+0003
"m1047345.3"       ,    0.00001,  7.38921E+0003,  7.19956E+0003
"l2989596.2"       ,    0.00005,  7.31026E+0003,  7.19956E+0003
"l2822873.2"       ,    0.00005,  7.31017E+0003,  7.19956E+0003
"m1108328.3"       ,    0.00001,  7.40728E+0003,  7.19956E+0003
"l2875754.3"       ,    0.00001,  7.40720E+0003,  7.19956E+0003
"l2786204.3"       ,    0.00000,  7.49913E+0003,  7.19956E+0003
"m1209819.3"       ,    0.00000,  7.49486E+0003,  7.19956E+0003
"p901972.1"        ,    0.00010,  7.09509E+0003,  7.19956E+0003
"m1009726.1"       ,    0.00010,  7.09227E+0003,  7.19956E+0003
"m1047702.1"       ,    0.00010,  7.25702E+0003,  7.19956E+0003
"n1137001.1"       ,    0.00010,  7.25698E+0003,  7.19956E+0003
"l2767340.1"       ,    0.00005,  6.86410E+0003,  7.19956E+0003
"l2767340.2"       ,    0.00003,  7.10676E+0003,  7.19956E+0003
"l2767340.3"       ,    0.00001,  7.47138E+0003,  7.19956E+0003
"m3037449.1"       ,    0.00005,  6.86410E+0003,  7.19956E+0003
"m3037449.2"       ,    0.00003,  7.10676E+0003,  7.19956E+0003
"m3037449.3"       ,    0.00001,  7.47138E+0003,  7.19956E+0003
"m1047457.2"       ,    0.00006,  7.52199E+0003,  7.19956E+0003
"l2710546.2"       ,    0.00006,  7.52113E+0003,  7.19956E+0003
"l2674027.1"       ,    0.00006,  6.69292E+0003,  7.19956E+0003
"l2674027.2"       ,    0.00003,  7.03165E+0003,  7.19956E+0003
"l2674027.3"       ,    0.00001,  7.47244E+0003,  7.19956E+0003
"l2692633.1"       ,    0.00006,  6.68515E+0003,  7.19956E+0003
"l2692633.2"       ,    0.00003,  7.02773E+0003,  7.19956E+0003
"l2692633.3"       ,    0.00001,  7.47255E+0003,  7.19956E+0003
"n1142108.1"       ,    0.00004,  7.12395E+0003,  7.19956E+0003
"l2674051.1"       ,    0.00004,  7.12387E+0003,  7.19956E+0003
"m1069135.1"       ,    0.00005,  7.11248E+0003,  7.19956E+0003
"m1069135.2"       ,    0.00003,  7.21517E+0003,  7.19956E+0003
"m1069135.3"       ,    0.00001,  7.39676E+0003,  7.19956E+0003
"r18242.1"         ,    0.00005,  7.10718E+0003,  7.19956E+0003
"r18242.2"         ,    0.00003,  7.21108E+0003,  7.19956E+0003
"r18242.3"         ,    0.00001,  7.39623E+0003,  7.19956E+0003
"m1047534.1"       ,    0.00009,  7.37605E+0003,  7.19956E+0003
"m1047534.2"       ,    0.00006,  7.86556E+0003,  7.19956E+0003
"m1047534.3"       ,    0.00001,  7.57487E+0003,  7.19956E+0003
"n1136663.1"       ,    0.00009,  7.35403E+0003,  7.19956E+0003
"n1136663.2"       ,    0.00006,  7.85029E+0003,  7.19956E+0003
"n1136663.3"       ,    0.00001,  7.56279E+0003,  7.19956E+0003
"m1108508.3"       ,    0.00001,  7.56699E+0003,  7.19956E+0003
"l3097861.3"       ,    0.00001,  7.56692E+0003,  7.19956E+0003
"m1069560.2"       ,    0.00005,  7.30620E+0003,  7.19956E+0003
"l2973153.1"       ,    0.00010,  7.26786E+0003,  7.19956E+0003
"l2973153.2"       ,    0.00006,  7.74673E+0003,  7.19956E+0003
"l2973153.3"       ,    0.00001,  7.53361E+0003,  7.19956E+0003
"n1136998.1"       ,    0.00010,  7.26732E+0003,  7.19956E+0003
"n1136998.2"       ,    0.00006,  7.74552E+0003,  7.19956E+0003
"n1136998.3"       ,    0.00001,  7.53375E+0003,  7.19956E+0003
"l2898515.3"       ,    0.00001,  7.49455E+0003,  7.19956E+0003
"m1166387.3"       ,    0.00001,  7.49436E+0003,  7.19956E+0003
"m1047442.2"       ,    0.00006,  7.55061E+0003,  7.19956E+0003
"l3235250.2"       ,    0.00006,  7.55055E+0003,  7.19956E+0003
"m1142871.1"       ,    0.00004,  7.04652E+0003,  7.19956E+0003
"m1142871.2"       ,    0.00002,  7.19757E+0003,  7.19956E+0003
"m1142871.3"       ,    0.00001,  7.47300E+0003,  7.19956E+0003
"m1142874.1"       ,    0.00004,  7.04094E+0003,  7.19956E+0003
"m1142874.2"       ,    0.00002,  7.19462E+0003,  7.19956E+0003
"m1142874.3"       ,    0.00001,  7.47282E+0003,  7.19956E+0003
"l2955081.1"       ,    0.00004,  7.12423E+0003,  7.19956E+0003
"l2955081.2"       ,    0.00002,  7.18327E+0003,  7.19956E+0003
"l2955081.3"       ,    0.00001,  7.43341E+0003,  7.19956E+0003
"m1108315.1"       ,    0.00004,  7.12440E+0003,  7.19956E+0003
"m1108315.2"       ,    0.00002,  7.18058E+0003,  7.19956E+0003
"m1108315.3"       ,    0.00001,  7.43119E+0003,  7.19956E+0003
"l2973162.1"       ,    0.00005,  6.97261E+0003,  7.19956E+0003
"l2973162.2"       ,    0.00003,  7.04811E+0003,  7.19956E+0003
"l2973162.3"       ,    0.00001,  7.37929E+0003,  7.19956E+0003
"m1026333.1"       ,    0.00005,  6.97200E+0003,  7.19956E+0003
"m1026333.2"       ,    0.00003,  7.04431E+0003,  7.19956E+0003
"m1026333.3"       ,    0.00001,  7.38018E+0003,  7.19956E+0003
"m1009832.2"       ,    0.00006,  7.63973E+0003,  7.19956E+0003
"l2860479.2"       ,    0.00006,  7.63969E+0003,  7.19956E+0003
"m1026854.1"       ,    0.00010,  7.20456E+0003,  7.19956E+0003
"p901894.1"        ,    0.00010,  7.20435E+0003,  7.19956E+0003
"m1026485.2"       ,    0.00003,  7.14909E+0003,  7.19956E+0003
"m1026492.2"       ,    0.00003,  7.14884E+0003,  7.19956E+0003
"d6413567-3_int.1" ,    0.00005,  7.21610E+0003,  7.19956E+0003
"d6413567-3_int.2" ,    0.00003,  7.33984E+0003,  7.19956E+0003
"d6413567-3_int.3" ,    0.00001,  7.39671E+0003,  7.19956E+0003
"e182724.1"        ,    0.00005,  7.21604E+0003,  7.19956E+0003
"e182724.2"        ,    0.00003,  7.33977E+0003,  7.19956E+0003
"e182724.3"        ,    0.00001,  7.39671E+0003,  7.19956E+0003
"n1139541.1"       ,    0.00005,  7.21811E+0003,  7.19956E+0003
"n1139541.2"       ,    0.00003,  7.34150E+0003,  7.19956E+0003
"n1139541.3"       ,    0.00001,  7.39686E+0003,  7.19956E+0003
"m4122658.1"       ,    0.00005,  6.78478E+0003,  7.19956E+0003
"m4122658.2"       ,    0.00003,  7.07348E+0003,  7.19956E+0003
"m4122658.3"       ,    0.00001,  7.47214E+0003,  7.19956E+0003
"l2933135.1"       ,    0.00005,  6.78457E+0003,  7.19956E+0003
"l2933135.2"       ,    0.00003,  7.07339E+0003,  7.19956E+0003
"l2933135.3"       ,    0.00001,  7.47214E+0003,  7.19956E+0003
"l2729414.1"       ,    0.00010,  7.11261E+0003,  7.19956E+0003
"l2729414.2"       ,    0.00006,  7.76890E+0003,  7.19956E+0003
"l2729414.3"       ,    0.00001,  7.40182E+0003,  7.19956E+0003
"l2729430.2"       ,    0.00006,  7.67505E+0003,  7.19956E+0003
"l2766742.2"       ,    0.00006,  7.66840E+0003,  7.19956E+0003
"m1026972.2"       ,    0.00006,  7.55475E+0003,  7.19956E+0003
"l2860483.2"       ,    0.00006,  7.55453E+0003,  7.19956E+0003
"l2860490.1"       ,    0.00005,  7.09687E+0003,  7.19956E+0003
"l2860490.2"       ,    0.00003,  7.20244E+0003,  7.19956E+0003
"l2860490.3"       ,    0.00001,  7.39305E+0003,  7.19956E+0003
"l3104134.1"       ,    0.00005,  7.09110E+0003,  7.19956E+0003
"l3104134.2"       ,    0.00003,  7.19736E+0003,  7.19956E+0003
"l3104134.3"       ,    0.00001,  7.39122E+0003,  7.19956E+0003
"m1089144.1"       ,    0.00004,  6.98137E+0003,  7.19956E+0003
"p827522.1"        ,    0.00004,  6.98135E+0003,  7.19956E+0003
"m1089118.1"       ,    0.00005,  7.27871E+0003,  7.19956E+0003
"l3048208.1"       ,    0.00005,  7.27865E+0003,  7.19956E+0003
"m1108505.1"       ,    0.00006,  6.71360E+0003,  7.19956E+0003
"m1108505.2"       ,    0.00003,  7.04229E+0003,  7.19956E+0003
"m1108505.3"       ,    0.00001,  7.47201E+0003,  7.19956E+0003
"l2955047.1"       ,    0.00006,  6.70728E+0003,  7.19956E+0003
"l2955047.2"       ,    0.00003,  7.03904E+0003,  7.19956E+0003
"l2955047.3"       ,    0.00001,  7.47215E+0003,  7.19956E+0003
"m1089148.1"       ,    0.00004,  6.97840E+0003,  7.19956E+0003
"l2766721.1"       ,    0.00004,  6.97828E+0003,  7.19956E+0003
